,season,episode_number,title,airdate,rating,total_votes,desc
0,1,1,Ambush,3 Oct 2008,7.3,"4,616","Yoda, along with three clone troopers, must face off against Asajj Ventress and her droid army while on a mission to a moon of Rugosa.    "
1,1,2,Rising Malevolence,3 Oct 2008,7.3,"4,091","General Grievous uses his latest weapon, the Malevolence, to destroy Plo Koon's fleet. Stuck in an escape pod with three clone troopers, Koon fends off more battle droids while Anakin and Ahsoka mount a rescue mission.    "
2,1,3,Shadow of Malevolence,10 Oct 2008,7.3,"3,825","The Malevolence has been revealed to the Republic. Anakin and Shadow Squad, accompanied by Ahsoka and Master Koon, launch an attack in their new long-range Y-wing bombers.    "
3,1,4,Destroy Malevolence,17 Oct 2008,7.4,"3,714",Padmé Amidala and C-3PO are taken hostage by Grievous aboard the Malevolence. Anakin and Obi-Wan board the ship to rescue the senator and her protocol droid.    
4,1,5,Rookies,24 Oct 2008,7.8,"4,015","Alone on a distant outpost, Commander Cody and Captain Rex must inspire the rookie clones to believe in themselves to stave off a commando droid invasion.    "
5,1,6,Downfall of a Droid,7 Nov 2008,6.6,"3,456",Anakin must find the missing R2-D2 before the Separatists discover the Jedi military secrets locked in his memory banks.    
6,1,7,Duel of the Droids,14 Nov 2008,7.2,"3,420","Anakin, Ahsoka and replacement droid R3-S6 embark on a dual rescue/sabotage mission when they discover R2-D2 is being held at General Grievous' secret enemy listening post.    "
7,1,8,Bombad Jedi,21 Nov 2008,6.1,"3,508","Padmé travels to Rodia to meet with old family friend Onaconda Farr about the lack of food rations. Unfortunately Farr has just made a deal with the Separatists. Padmé is imprisoned, leaving it up to Jar Jar Binks and C-3PO to rescue her.    "
8,1,9,Cloak of Darkness,5 Dec 2008,7.9,"3,531","Ahsoka and Master Luminara escort captured Nute Gunray to trial, unaware that Count Dooku has dispatched his deadly apprentice Asajj Ventress to free the prisoner and eliminate the Jedi.    "
9,1,10,Lair of Grievous,12 Dec 2008,8.1,"3,624",General Grievous must prove himself worthy of the Separatists when Count Dooku leads Kit Fisto and his former Padawan to Grievous' villainous enclave.    
10,1,11,Dooku Captured,2 Jan 2009,7.3,"3,220","During their own attempt to kidnap Count Dooku, Anakin and Obi-Wan discover that the Sith Lord has already been captured by pirates.    "
11,1,12,The Gungan General,9 Jan 2009,7.0,"3,143","While negotiating Count Dooku's ransom, Anakin and Obi-Wan are taken prisoner. The Jedi and Sith form an unlikely alliance in a bid to escape, with Jar Jar Binks as their only hope.    "
12,1,13,Jedi Crash,16 Jan 2009,7.3,"3,144","Anakin is injured while rescuing Aayla Secura from Super Battle Droids equipped with rocket packs. Ahsoka crash-lands their shuttle on the neutral planet of Maridun, where the native Lurmen villagers refuse to takes sides in the war.    "
13,1,14,Defenders of Peace,23 Jan 2009,7.4,"3,119","While the Jedi combat a new Separatist weapon, the pacifist Lurmen must decide whether they will surrender or fight with Anakin, Ahsoka and Aayla Secura.    "
14,1,15,Trespass,30 Jan 2009,7.6,"3,209","While investigating the disappearance of a clone security force, Anakin and Obi-Wan get caught in the middle of a conflict between the territorial inhabitants of a desolate ice world and the greedy representatives of a nearby moon.    "
15,1,16,The Hidden Enemy,6 Feb 2009,7.7,"3,230",Anakin and Obi-Wan discover evidence of a traitor amongst their ranks while attempting to lead Republic forces to liberate Christophsis from a Separatist siege.    
16,1,17,Blue Shadow Virus,13 Feb 2009,6.7,"3,008","Evil scientist Dr. Nuvo Vindi is recreating the dreaded Blue Shadow Virus in his secret underground lab on Naboo. When he captures Senator Amidala and Jar Jar Binks, Anakin and Obi-Wan mount a rescue operation.    "
17,1,18,Mystery of a Thousand Moons,13 Feb 2009,7.0,"2,925","The fatal Blue Shadow Virus is released, infecting Ahsoka, Padmé and many clone troopers. Anakin and Obi-Wan must find the antidote on a mysterious planet from which no visitor has ever returned.    "
18,1,19,Storm Over Ryloth,27 Feb 2009,7.6,"3,041",The Separatists have invaded the Twi'lek home planet of Ryloth. Anakin and Ahsoka lead a squadron of fighters against a Trade Federation battleship commanded by Neimoidian Captain Mar Tuuk.    
19,1,20,Innocents of Ryloth,6 Mar 2009,8.0,"3,152","To sabotage a powerful Separatist weapon, Obi-Wan and a small clone force enter an occupied town, and discover that its residents are being used as a living shield.    "
20,1,21,Liberty on Ryloth,13 Mar 2009,7.6,"2,983",Mace Windu and his clone troopers aim to liberate the Ryloth capitol of Lessu but needs to acquire the help of a Twi'lek resistance group led by Cham Syndulla in order to do so.    
21,1,22,Hostage Crisis,20 Mar 2009,7.9,"3,105","To free crime lord Ziro the Hutt, bounty hunters seize control of the Senate Building and take hostages, unaware that Anakin Skywalker is still inside.    "
22,2,1,Holocron Heist,2 Oct 2009,7.9,"3,011",Darth Sidious commissions a bounty hunter to break into the Jedi Temple Archives.    
23,2,2,Cargo of Doom,2 Oct 2009,8.0,"2,962","With Anakin and Ahsoka in pursuit, Cad Bane seeks the last piece to unlock the holocron he stole for Darth Sidious.    "
24,2,3,Children of the Force,9 Oct 2009,7.6,"2,865","With the information from the stolen holocron, Darth Sidious orders Cad Bane to kidnap several Force-sensitive children for his scheme.    "
25,2,4,Senate Spy,17 Oct 2009,6.9,"2,747","At the Jedi High Council's request, Padmé investigates a Separatist conspiracy in the Senate.    "
26,2,5,Landing at Point Rain,4 Nov 2009,8.1,"3,146","Anakin, Ahsoka, Obi-Wan and Ki-Adi-Mundi lead a landing party to destroy a droid factory on Geonosis.    "
27,2,6,Weapons Factory,13 Nov 2009,7.8,"2,828","Luminara and Anakin act as decoys to divert new enemy super-tanks, while Padawans Barriss Offee and Ahsoka attempt to destroy a Separatist droid factory.    "
28,2,7,Legacy of Terror,20 Nov 2009,7.6,"2,789","Luminara Unduli disappears during a sandstorm while following Poggle the Lesser. When Anakin and Obi-Wan track her to an ancient temple, they are attacked by undead Geonosian warriors.    "
29,2,8,Brain Invaders,4 Dec 2009,8.0,"2,883","Ahsoka, Barris and Tango Company board a supply ship to a station near Ord Cestus. But one of the troopers has been infected by a Geonosian brain worm and has taken along a nest full of worm eggs to submit the others.    "
30,2,9,Grievous Intrigue,1 Jan 2010,7.9,"2,715","Master Eeth Koth has tracked down General Grievous, but is soon captured and tortured as an example to the Jedi. Obi-Wan, Anakin and Adi Gallia mount a rescue attempt, unaware that Grievous is expecting them to do just that.    "
31,2,10,The Deserter,1 Jan 2010,8.1,"2,860","Obi-Wan and a detachment of the 501st track down General Grievous on Saleucami. When Captain Rex is injured he is taken to a farmhouse to recuperate, only to find the farmer has a familiar face.    "
32,2,11,Lightsaber Lost,22 Jan 2010,7.6,"2,783","During a mission in the underworld of Coruscant, a pickpocket steals Ahsoka's lightsaber. Too ashamed to tell Anakin, she sets out to look for the thief alone, but gets help from Tera Sinube, an ancient Jedi Master.    "
33,2,12,The Mandalore Plot,29 Jan 2010,8.0,"2,931","Firmly opposed to war, Duchess Satine of Mandalore heads the Council of Neutral Systems. Obi-Wan Kenobi investigates rumors of the resurgence of the so-called Death Watch on her planet.    "
34,2,13,Voyage of Temptation,5 Feb 2010,8.1,"2,929","Obi-Wan and Anakin guard the Duchess Satine and members of The Council of Neutral Systems as they travel to Coruscant aboard the luxury vessel Coronet, but a traitor amongst them has smuggled aboard a spider-shaped assassin droid.    "
35,2,14,Duchess of Mandalore,12 Feb 2010,7.6,"2,729","On Coruscant, word reaches Duchess Satine that Death Watch is mobilizing, sparking a preemptive Republic invasion. On the run from Republic authorities, Satine and Obi-Wan set off to discover the group's true motives.    "
36,2,15,Senate Murders,5 Mar 2010,6.8,"2,533","Padmé is working to to introduce a bill to minimize military spending and halt the creation of clone troopers. But when one of her most trusted allies is poisoned, she and Bail Organa set out to expose the murderer.    "
37,2,16,Cat and Mouse,26 Mar 2010,7.5,"2,859","Anakin is tasked to fly a prototypical cloaked ship to get supplies to Bail Organa on Christophsis, but can't resist an urge to attack a blockade headed by the infamous Admiral Trench.    "
38,2,17,Bounty Hunters,2 Apr 2010,7.5,"2,647","Obi-Wan, Anakin and Ahsoka crash land on Felucia and reluctantly join four bounty hunters in defending a village from Hondo Ohnaka's pirate gang.    "
39,2,18,The Zillo Beast,9 Apr 2010,7.4,"2,614","When the Republic detonates a powerful electro-proton bomb to settle the battle of Malastare, it accidentally wakens an ancient and thought to be extinct Zillo Beast.    "
40,2,19,The Zillo Beast Strikes Back,16 Apr 2010,7.6,"2,643",The Zillo Beast has been captured and is brought to Coruscant for testing. Chancellor Palpatine wants to learn the secrets of its invulnerability but only manages to make the beast angry enough to escape.    
41,2,20,Death Trap,23 Apr 2010,7.8,"2,660","Determined to have his revenge on Mace Windu, Boba Fett infiltrates Jedi cruiser Endurance as part of a group of young clone cadets.    "
42,2,21,R2 Come Home,30 Apr 2010,7.5,"2,585","When Anakin and Mace try to rescue Admiral Kilian from his crashed cruiser, they walk into a trap set by Boba Fett and his bounty hunter associates. Then it is up to R2-D2 to try and get a message out.    "
43,2,22,Lethal Trackdown,30 Apr 2010,8.0,"2,650","Boba Fett and Aurra Sing are using hostages to force Mace Windu to face them. With Mace and Anakin still recovering, Plo Koon and Ahsoka Tano track down the bounty hunters.    "
44,3,1,Clone Cadets,17 Sep 2010,7.8,"3,201","Unless they want to flunk out, the clones of Domino Squad must learn to work together during their training on Kamino.    "
45,3,2,ARC Troopers,17 Sep 2010,8.5,"3,152","General Grievous and Asajj Ventress combine forces in an attack on Kamino. As Anakin and Obi-Wan rush to aid Tipoca City, the clones prepare to defend their home planet.    "
46,3,3,Supply Lines,24 Sep 2010,7.0,"2,692",Jedi Master Ima-Gun Di and his men are trapped on the besieged world of Ryloth. Senator Bail Organa teams up with Representative Jar Jar Binks to convince neutral King Katuunko of Toydaria to send aid to the Twi'leks of Ryloth.    
47,3,4,Sphere of Influence,1 Oct 2010,7.0,"2,424","When newly elected Chairman Papanoida's daughters are kidnapped, Senator Chuchi and Ahsoka Tano investigate the Trade Federation while Papanoida and his son follow a lead to Jabba's palace.    "
48,3,5,Corruption,8 Oct 2010,6.7,"2,512",When Padmé visits Mandalore on a diplomatic mission she finds herself investigating an outbreak of a mysterious illness at a school with Duchess Satine.    
49,3,6,The Academy,15 Oct 2010,6.9,"2,473",Ahsoka is assigned to tutor at a leadership academy on Mandalore. Duchess Satine's nephew Korkie and three of his classmates discover a conspiracy involving the black market and the planet's food supplies.    
50,3,7,Assassin,22 Oct 2010,7.5,"2,515",Ahsoka receives visions about Aurra Sing attempting to assassinate Padmé Amidala and decides to accompany the Senator on a peace mission to Alderaan.    
51,3,8,Evil Plans,5 Nov 2010,6.2,"2,450",C-3PO and R2-D2 are tasked to get some Jogan fruit for a reception honoring Roonan Senator Aang. But the droids are targeted by bounty hunter Cad Bane who wants to extract information regarding the Senate from their data banks.    
52,3,9,Hunt for Ziro,12 Nov 2010,7.1,"2,489","Obi-Wan Kenobi and Quinlan Vos are assigned to retrieve Ziro the Hutt after his escape from prison. But Ziro is instantly put on trial by the five Hutt families on Nal Hutta, where his only ally may be an old lover.    "
53,3,10,Heroes on Both Sides,19 Nov 2010,7.5,"2,544","Padmé visits her old mentor Mina Bonteri, who has chosen the side of the Separatists but is urging for peace talks. But the Banking Clan and several corrupt senators conspire against this initiative.    "
54,3,11,Pursuit of Peace,3 Dec 2010,7.2,"2,437","Senators Amidala and Organa are opposed to funding five million new clone troopers, but they and other like-minded dignitaries find themselves targeted by thuggish bounty hunters set on changing their vote.    "
55,3,12,Nightsisters,7 Jan 2011,8.6,"3,214","Darth Sidious orders Lord Tyrannus to eliminate Asajj Ventress, lest her becoming too powerful. But Ventress escapes and manages to make her way back to her home planet of Dathomir, vowing revenge on Count Dooku.    "
56,3,13,Monster,14 Jan 2011,8.7,"3,256","Count Dooku accepts Mother Talzin's offer to present him with a warrior from the same tribe as Darth Maul. However, Talzin and Asajj Ventress pick and train the warrior and use Nightsister magic to bend him to their will.    "
57,3,14,Witches of the Mist,21 Jan 2011,8.9,"3,306","As Count Dooku trains Savage Opress in the ways of the Dark Side, Obi-Wan and Anakin travel to Dathomir to learn more about this Zabrak Jedi killer.    "
58,3,15,Overlords,28 Jan 2011,8.9,"3,650","A mysterious force draws Anakin, Obi-Wan and Ahsoka to a distant planet to determine whether Anakin is truly the Chosen One.    "
59,3,16,Altar of Mortis,4 Feb 2011,8.6,"3,347","Before the Jedi can leave Mortis, the Son abducts Ahsoka and infects her with the dark side. While Anakin faces his Padawan, the Daughter reveals to Obi-Wan the only weapon that can defeat her brother: the Dagger of Mortis.    "
60,3,17,Ghosts of Mortis,11 Feb 2011,8.9,"3,547",The Son shows Anakin a vision of the future to sway him to his side. Obi-Wan and Ahsoka must make sure the Son does not leave Mortis aboard their Jedi shuttle.    
61,3,18,The Citadel,11 Feb 2011,8.1,"2,652","Obi-Wan, Anakin and some of their best troopers allow themselves to be frozen in carbonite in an attempt to break into the Separatist prison known as the Citadel to rescue Master Even Piell.    "
62,3,19,Counter Attack,4 Mar 2011,8.0,"2,564",The Jedi and their troops have split up to safeguard the vital information but find that getting out of the Citadel is even harder than getting in.    
63,3,20,Citadel Rescue,11 Mar 2011,8.1,"2,586",Masters Plo Koon and Saesee Tiin head a desperate rescue operation to get the survivors of the Citadel infiltration mission and the information they carry.    
64,3,21,Padawan Lost,1 Apr 2011,7.7,"2,486",Ahsoka is captured by a Trandoshan during a battle on Felucia. The reptilian aims to hunt her down for sport together with his kin.    
65,3,22,Wookiee Hunt,1 Apr 2011,8.0,"2,535",The Jedi younglings led by Ahsoka free a Wookiee prisoner from a transport. Together they form a plan to attack the Trandoshan base ship.    
66,4,1,Water War,16 Sep 2011,7.1,"2,464","The water planet Mon Calamari is on the brink of civil war. Senator Amidala and her Jedi protector Anakin Skywalker take the side of the Mon Cal, while Separatist representative Riff Tamson spurs on the Quarren.    "
67,4,2,Gungan Attack,16 Sep 2011,7.0,"2,375",The Mon Cal and Jedi are in hiding beneath the underwater capital city of Mon Cal. The Jedi Council calls on the help of the Gungan army led by Jar Jar Binks.    
68,4,3,Prisoners,23 Sep 2011,7.1,"2,346",Only Prince Lee-Char and Padawan Ahsoka Tano have escaped capture and must find a way to free their comrades as well as the entire planet from the impending rule of Riff Tamson.    
69,4,4,Shadow Warrior,30 Sep 2011,7.1,"2,304",There is unrest on Naboo and the Gungans are considering to join the Separatists. But General Skywalker discovers Boss Lyonie is being influenced by dark magic against his will.    
70,4,5,Mercy Mission,7 Oct 2011,6.1,"2,334",Commander Wolffe and his men aid the Aleena whose planet has recently suffered terrible quakes. Translator droid C-3PO and his counterpart R2-D2 find the natives need them to fulfill a special task.    
71,4,6,Nomad Droids,14 Oct 2011,6.3,"2,315",3PO and R2 escape Master Galia's Jedi Cruiser in a Y-Wing fighter and find themselves in one bizarre situation after the other.    
72,4,7,Darkness on Umbara,28 Oct 2011,8.5,"3,210","During an assault on the shadowy world of Umbara, General Skywalker is called back to Coruscant. He has to relinquish command of the 501st legion to legendary Jedi Master Krell, who turns out to have a low opinion of clones.    "
73,4,8,The General,4 Nov 2011,8.6,"3,162",Krell sends Captain Rex and his troopers on an impossible mission: to conquer a heavily fortified Umbaran airbase.    
74,4,9,Plan of Dissent,11 Nov 2011,8.7,"3,161",ARC Trooper Fives disagrees with General Krell's strategies and comes up with his own unauthorized plan using captured Umbaran star fighters.    
75,4,10,Carnage of Krell,18 Nov 2011,9.3,"3,926",Rex and the 501st troopers refuse to execute Fives and Jesse for their insubordination. They are in for even bigger shock when General Krell orders another offensive.    
76,4,11,Kidnapped,25 Nov 2011,7.6,"2,360","The Separatists support Zygerrian slavers in taking over a Togruta colony on the neutral planet Kiros. Anakin and Ahsoka race to defuse a series of bombs, while Obi-Wan faces the Zygerrian leader, Darts D'Nar.    "
77,4,12,Slaves of the Republic,2 Dec 2011,7.8,"2,417","On the planet Zygerria, Anakin poses as a slaver with Ahsoka as his prize while Obi-Wan and Rex seek out the whereabouts of the missing Togruta colony.    "
78,4,13,Escape from Kadavo,6 Jan 2012,8.1,"2,445","While Obi-Wan and Rex are forced to work at the Kadavo slave camps, Count Dooku arrives at Zygerria and demands the execution of the captured Jedi.    "
79,4,14,A Friend in Need,13 Jan 2012,7.9,"2,446","Lux Bonteri disrupts a peace conference between Seperatist and Republic representatives on Mandalore. Intent on safeguarding him, Ahsoka becomes involved in Lux's plan to take revenge on Count Dooku for his mother's death.    "
80,4,15,Deception,20 Jan 2012,8.3,"2,597","Obi-Wan fakes his own death and goes undercover as his own 'killer', Rako Hardeen, so he can infiltrate Moralo Eval's plot to kidnap Chancellor Palpatine.    "
81,4,16,Friends and Enemies,27 Jan 2012,8.3,"2,545","Disguised as Bounty Hunter Rako Hardeen, Obi-Wan Kenobi is on the run with criminal mastermind Moralo Eval and Cad Bane. But their partnership is on thin ice and Anakin and Ahsoka are in hot pursuit.    "
82,4,17,The Box,3 Feb 2012,8.7,"2,842",Count Dooku challenges eleven bounty hunters to survive several deadly levels devised by Moralo Eval. The winners will participate in the plot to kidnap Chancellor Palpatine on Naboo.    
83,4,18,Crisis on Naboo,10 Feb 2012,8.2,"2,484","Cad Bane leads Dooku's team of bounty hunters, including a disguised Obi-Wan, in a plot to kidnap the Supreme Chancellor during the Festival of Lights on Naboo.    "
84,4,19,Massacre,24 Feb 2012,8.0,"2,541",Asajj Ventress returns to Dathomir to become a true Nightsister. But then Count Dooku orders General Grievous to wipe out Mother Talzin and her entire clan of witches.    
85,4,20,Bounty,2 Mar 2012,8.2,"2,608",Asajj Ventress joins a group of bounty hunters led by Boba Fett. Their mission is to deliver a box with unknown cargo to the leader of the planet Quarzite.    
86,4,21,Brothers,9 Mar 2012,8.2,"2,762","The search for his long lost brother, Darth Maul, leads Savage Opress to the junk planet of Lotho Minor.    "
87,4,22,Revenge,16 Mar 2012,9.0,"3,327",Mother Talzin restores Darth Maul's sanity and gives him a better pair of mechanical legs. Now Maul wants revenge on Obi-Wan Kenobi and lures the Jedi to the remote planet of Raydonia.    
88,5,1,Revival,29 Sep 2012,8.8,"3,193",Maul takes Savage as his apprentice and together they set out to gather an army. Their attempt to recruit Hondo Ohnaka and his pirates is interrupted by Jedi Council members Obi-Wan Kenobi and Adi Gallia.    
89,5,2,A War on Two Fronts,6 Oct 2012,7.3,"2,337","By a request from Lux Bonteri, Anakin, Obi-Wan, Ahsoka and Rex travel to Onderon to help train a group of rebels so they can take back the capital city of Iziz from the Separatists.    "
90,5,3,Front Runners,13 Oct 2012,7.3,"2,290",The Jedi and Rex return to Coruscant and leave Ahsoka in charge of supervising the Onderon Rebels as they carry out a series of strikes in the capital.    
91,5,4,The Soft War,20 Oct 2012,7.5,"2,266",The Onderon Rebels attempt to rescue former King Dendup before he is executed.    
92,5,5,Tipping Points,27 Oct 2012,7.9,"2,369","The people of Onderon have decided to revolt against the Separatists, leading to a full scale revolt between the rebels and battle droids.    "
93,5,6,The Gathering,3 Nov 2012,7.9,"2,449",Ahsoka escorts a group of younglings to Ilum where they meet with Yoda and seek out the Kyber crystals needed to build their own lightsabers.    
94,5,7,A Test of Strength,10 Nov 2012,7.7,"2,313","As the six younglings prepare to construct their lightsabers, their training vessel Crucible is attacked by Hondo Ohnaka and his pirates.    "
95,5,8,Bound for Rescue,17 Nov 2012,7.4,"2,253","Hondo has failed to capture the Kaiburr crystals, but does hold Ahsoka as a prisoner. The younglings form a plan to infiltrate the pirate hideout on Florrum.    "
96,5,9,A Necessary Bond,24 Nov 2012,7.9,"2,355","General Grievous leads an attack on Hondo Ohnaka's base, forcing the pirates to form a temporary alliance with Ahsoka and the Jedi younglings.    "
97,5,10,Secret Weapons,1 Dec 2012,6.3,"2,288","R2-D2 joins a team of Republic Droids known as D-Squad, led by Colonel Gascon. Their mission: to steal an encryption module from a Separatist dreadnought.    "
98,5,11,A Sunny Day in the Void,8 Dec 2012,6.1,"2,351","D-Squad has obtained their mission objective, but crash-land on a desolate planet after a run-in with comets.    "
99,5,12,Missing in Action,5 Jan 2013,7.1,"2,307",Colonel Gascon and the five droids of D-Squad have arrived at the remote town of Pons Ora on the planet Abafar and find a clone commando suffering from amnesia.    
100,5,13,Point of No Return,12 Jan 2013,7.0,"2,200","Finally on their way back to Republic space, D-Squad uncovers a Separatist plan involving a sabotaged Jedi cruiser.    "
101,5,14,Eminence,19 Jan 2013,8.7,"3,153",Darth Maul and Savage Opress join forces with the Death Watch and together they recruit the Black Sun and Hutt crime lords to form the Shadow Collective.    
102,5,15,Shades of Reason,26 Jan 2013,9.1,"3,372","The Sith brothers and their criminal allies attack Mandalore and the Death Watch pretends to defeat them, causing the gullible people to choose Pre Vizsla's rule over Duchess Satine's.    "
103,5,16,The Lawless,2 Feb 2013,9.7,"5,435","Darth Maul has taken over leadership of Death Watch. Though the Jedi cannot officially interfere, Obi-Wan Kenobi travels to Mandalore to rescue Satine.    "
104,5,17,Sabotage,9 Feb 2013,8.1,"2,729",Anakin and Ahsoka are tasked to investigate a bombing at the Jedi Temple since they were two of the few Jedi off-planet at the time it occurred.    
105,5,18,The Jedi Who Knew Too Much,16 Feb 2013,9.0,"3,412","When the suspect of the Temple bombing is murdered in her cell, Ahsoka suddenly finds herself framed and on the run from the Republic military.    "
106,5,19,To Catch a Jedi,23 Feb 2013,9.0,"3,350",Ahsoka is on the run and hiding in the criminal underworld of Coruscant. She strikes up an unlikely alliance with a former enemy turned bounty hunter.    
107,5,20,The Wrong Jedi,2 Mar 2013,9.6,"5,139",Ahsoka is put on trial by the Jedi Council and must face the Galactic Senate. Anakin searches for a way to prove his Padawan's innocence.    
108,6,1,The Unknown,7 Mar 2014,8.1,"2,600","Clone trooper Tup is suffering from a severe neurological disorder that causes the death of a Jedi master. Trying to find the motives for the assassination, Anakin escorts Tup back to Kamino for examination.    "
109,6,2,Conspiracy,7 Mar 2014,8.1,"2,515","Clone trooper Tup is undergoing a medical examination in the sterile laboratories of Kamino to find the motives for his shocking attack on the Jedi Master. For the examination to succeed, trooper Fives must enter the depth of Tup's mind.    "
110,6,3,Fugitive,7 Mar 2014,8.3,"2,552","Tup's body is transported back to Coruscant where it is to be examined by the Chancellor's personal physician, while Fives furtively investigates his death with the help of a droid.    "
111,6,4,Orders,7 Mar 2014,8.8,"3,035","Fives believes he's uncovered a major conspiracy regarding the mysterious actions of clone trooper Tup, and finds himself on-the-run after he's falsely accused of attempting to murder the Chancellor.    "
112,6,5,An Old Friend,7 Mar 2014,7.0,"2,113","While on Scipio to fund a mercy mission, Senator Amidala is called upon by an old friend to help uncover corruption in the Banking Clan.    "
113,6,6,The Rise of Clovis,7 Mar 2014,7.2,"2,111",Clovis and Padmé head back to Coruscant to expose the financial corruption of the Banking Clan.    
114,6,7,Crisis at the Heart,7 Mar 2014,7.4,"2,105","After making a deal with Count Dooku to resuscitate the ailing Banking Clan, Clovis finds himself as a pawn in Dooku's designs.    "
115,6,8,The Disappeared: Part 1,7 Mar 2014,6.5,"2,091","The peaceful world of Bardotta and its mystic ways are threatened by an ancient prophecy, and its top spiritual leaders have vanished.    "
116,6,9,The Disappeared: Part 2,7 Mar 2014,6.7,"2,067",Jar Jar Binks' beloved Queen Julia of the planet Bardotta has been abducted by the bloodthirsty Frangawl Cult to fulfill a dark and ancient prophecy.    
117,6,10,The Lost One,7 Mar 2014,8.5,"2,558","A Jedi mission finds a lightsaber belonging to the long-dead Master Sifo-Dyas, prompting Yoda, Obi-Wan and Anakin to begin an investigation into his decade-old disappearance.    "
118,6,11,Voices,7 Mar 2014,8.8,"2,900",Yoda is deeply unsettled when he hears a voice from beyond the grave - the voice of Qui-Gon Jinn.    
119,6,12,Destiny,7 Mar 2014,8.7,"2,802","Letting the Force guide him, Yoda voyages into the heart of the galaxy to an ancient world that is one of the wellsprings of the Force and the source of midi-chlorians.    "
120,6,13,Sacrifice,7 Mar 2014,9.1,"3,216","After many grueling trials, Yoda next travels to the ancient Sith home world of Moraband, where he must face an ancient evil determined to rule the galaxy.    "
121,7,1,The Bad Batch,21 Feb 2020,8.2,"4,213","Rex, Cody, and Clone Force 99 (an unorthodox, elite squad also known as the Bad Batch), look to recover the Republic's strategy algorithm from Admiral Trench, but a haunting truth awaits.    "
122,7,2,A Distant Echo,28 Feb 2020,8.1,"3,748","Believing that MIA soldier Echo may still be alive, Rex's mission becomes doubly important. Alongside Bad Batch and Anakin, the clone captain launches a dangerous covert rescue.    "
123,7,3,On the Wings of Keeradaks,6 Mar 2020,7.7,"3,582","With Echo recovered, Rex, Bad Batch and Anakin look to fight their way out of a Separatist base.    "
124,7,4,Unfinished Business,13 Mar 2020,8.5,"3,834","The Republic plans a daring final strike against Admiral Trench, once again bringing together Rex, Echo, Anakin, and the elite Bad Batch squad.    "
125,7,5,Gone with a Trace,20 Mar 2020,6.5,"3,880","After leaving the Jedi Order, Ahsoka finds herself in the underworld of Coruscant where she meets aspiring pilot, Trace Martez. Enlisted by Trace's sister, Rafa, to help build dangerous droids, Ahsoka opts to keep her Jedi past a secret.    "
126,7,6,Deal No Deal,27 Mar 2020,6.1,"3,789","Ahsoka, Trace and Rafa are hired to deliver some spice, but things soon get complicated.    "
127,7,7,Dangerous Debt,3 Apr 2020,6.0,"3,818","Taken prisoner by the Pykes, Ahsoka and the Martez sisters attempt to escape.    "
128,7,8,Together Again,10 Apr 2020,7.0,"3,580",Ahsoka bargains for the sisters' freedom and makes a startling discovery.    
129,7,9,Old Friends Not Forgotten,17 Apr 2020,9.7,"10,351","Ahsoka contacts Anakin and Obi-Wan, who must decide whether to help her pursue Maul on Mandalore or defend Coruscant.    "
130,7,10,The Phantom Apprentice,24 Apr 2020,9.9,"13,717",Ahsoka leads Republic clones to confront Maul's forces on Mandalore. Maul senses the impending chaos and makes a calculated play to ensure his own survival.    
131,7,11,Shattered,1 May 2020,9.8,"12,378","After capturing Maul on Mandalore, Ahsoka's journey to the Jedi Council is disrupted when Order 66 is declared, turning her world upside down.    "
132,7,12,Victory and Death,4 May 2020,9.9,"14,260",Ahsoka and Rex must use their wit and skills to survive the turbulent end of the Clone Wars.    
